E0000001,E0000002
E0000002,E0000003
E0000005,E0000006
E0000006,E0000007
E0000011,E0000012
E0000007,E0000008
E0000009,E0000010
W0000003,W0000004
E0000010,E0000011
E0000013,E0000014
W0000002,W0000003
E0000014,E0000015
E0000015,E0000016
W0000021,W0000022
E0000016,E0000017
E0000017,E0000018
E0000018,E0000019
E0000000,E0000001
E0000019,E0000020
E0000020,E0000021
E0000003,E0000004
E0000021,E0000022
E0000023,E0000024
W0000004,W0000005
E0000025,M0000001
M0000001,W0000001
W0000001,W0000002
W0000005,W0000006
W0000023,W9999999
W0000006,W0000007
W0000007,W0000008
W0000008,W0000009
W0000009,W0000010
W0000019,W0000020
W0000010,W0000011
W0000011,W0000012
E0000024,E0000025
W0000012,W0000013
W0000013,W0000014
E0000004,E0000005
W0000014,W0000015
E0000022,E0000023
W0000015,W0000016
E0000012,E0000013
W0000016,W0000017
W0000017,W0000018
E0000008,E0000009
W0000018,W0000019
W0000020,W0000021
W0000022,W0000023
